District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22GovD,G22GovR,G22SosD,G22SosR,G22AgD,G22AgR,G22SenO,G22SenR,G22SenD,G22TreD,G22TreR,G22CorD,G22CorR,G20SenR,G20SenD,G20PreR,G20PreD,G20PreO,G20Ref207N,G20Ref207Y,G20Ref208N,G20Ref208Y,G18SosO,G18AgO,G18TreO,G18SpiO,G18MinO,G18MinD,G18MinR,G18SenR,G18SenD,G18GovR,G18GovD,G18SosR,G18SosD,G18AgR,G18AgD,G18TreR,G18TreD,G18SpiR,G18SpiD,G18SenO,G18GovO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G12SenR,G12SenD,G12PreD,G12PreR,G10TreD,G10TreR,G10TreO,G10SenD,G10SenR,G10SenO,G10AgD,G10AgO,G10AgR,G10SosD,G10SosR,G10SosO,G10SpiD,G10SpiR,G10SpiO,G10GovD,G10GovR,G10GovO,G08PreD,G08PreR,G08PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,name,G22SpiD,G22SpiR,DCivilian,COUNTYFP,cntyName,cntyName2,GBuildD,GBuildR,districtId,countyFP
8,Rural Arizona,8,45136,17423,1143165342,5211353,1916711,13366694,330219,11816,8495,13472,11285,3671,4731,5461,3122,205,18205,29524,7749,19421,525,997,403,139,37426,345,1841,317,53,1650,3504,6060,35116,29698,284,1303,252,42,1239,2298,4194,43489,38272,381,1530,217,44,1938,1005,5858,1071832688,810948608,32993,29261,300,1058,76,15,1118,515,3052,20854,19066,160,859,31,488,1250,42399,38038,860,3362,87,111,446,31567,28617,7001,2703,44662,38600,6033,22910,22226,3995,15346,14689,94,194,41,68,360,1580,293,156,2135,611,866,902,4122,1497,656,544,0,15233,61,14324,831,35464,17251,3285,44582,7334,17423,13246,4145,470,0,2,145,250,0,19,20,5,14566,944,2203,2586,1669,3568,664,1257,113,166,19,17,28,0,5,84,1,9,35,11,7355,6,0,7331,6548,703,5307,28,1,13,90,19,140,43471,23056,19886,1665,1027,525,9558,70,918,24,1158488846,5591,18264,6111,17472,5497,18105,570,17556,5852,4443,19045,9449,32839,17210,4552,17648,4121,181,11892,9594,15068,6395,0,0,0,0,0,3029,12263,12022,3298,13090,2380,12193,3284,12441,3038,12644,2750,11902,3610,434,245,13358,2634,11365,3115,1190,1975,12835,3704,3288,14132,2854,9963,1227,2340,10167,1512,4314,0,9605,2973,11069,0,3810,9855,0,2850,11057,493,3708,13035,124,4242,17527,4373,17396,Rural Arizona,18723,21688,78754,017,Navajo County,Navajo,NaN,NaN,8,017
8,Rural Arizona,8,19493,7937,525063814,7721126,863156,5902276,223343,4259,3875,6724,4612,1659,2554,2257,1245,162,8335,9613,4031,5169,78,55,36,108,13696,238,641,171,16,1687,3044,5708,15934,11655,180,462,144,14,1282,2197,4135,20314,16574,202,655,121,29,1968,671,5923,510717680,441896767,18226,14972,126,440,72,8,1853,486,5118,11896,10732,41,354,33,513,2854,18732,14052,1341,4351,19,65,17,14206,12198,2768,878,19329,17750,1536,9761,9732,2014,7863,7478,23,20,9,177,228,612,374,108,1404,465,190,882,1627,811,163,318,128,7784,39,7383,427,16284,8729,1419,19457,3295,7937,6272,1666,251,0,21,37,0,0,103,0,17,4309,390,867,478,863,562,164,197,67,22,13,8,2,0,0,111,0,6,0,4,5622,2,0,5621,6998,144,6535,168,66,0,2,1,0,17581,8207,9198,1912,1144,682,3698,12,637,0,531215575,3351,4494,3412,4400,3283,4477,188,4180,3479,2902,4842,5756,8250,5808,4169,5956,3985,85,3802,5703,5019,4358,0,4,0,0,0,2916,4219,4204,2921,4725,2382,4113,3080,4149,3003,4375,2780,4060,3063,230,210,4649,2869,4287,2826,522,680,3758,3202,3063,4291,2510,3259,558,2118,3883,482,2710,0,3716,2550,3770,0,2613,3764,0,2431,3922,208,3219,4558,82,3967,5974,3983,5958,Rural Arizona,248230,159636,821500,019,Pima County,Pima,NaN,NaN,8,019
8,Rural Arizona,8,57066,17949,1343651333,4409544,2360793,15233710,478957,11448,17267,16641,11663,4126,4600,5780,2850,397,22959,21938,4906,14355,439,1467,344,132,31731,2608,2044,619,202,11952,7910,23769,46151,26859,2040,1575,549,155,9428,5545,17453,59292,36413,3194,3155,1068,1007,12238,2030,26298,1286806179,818701483,36680,22620,1259,1311,255,33,9315,1025,18212,22755,13786,988,800,61,6544,11332,54381,37614,6449,15308,295,372,452,42219,33044,5510,1552,46157,42132,4020,34321,22745,4593,16538,15677,3,366,116,191,940,1269,1612,182,1893,852,808,1636,2772,1590,510,1267,0,16437,68,11377,5141,48196,18168,2528,46024,7545,17949,13001,4952,812,14,89,84,166,61,107,70,98,11393,640,2524,1928,1420,1551,429,893,131,209,63,74,31,5,27,240,36,24,37,9,23973,194,49,23722,24207,565,20791,650,32,3,887,313,608,49817,23621,25773,7249,1928,5211,8765,35,1130,7,1410001247,5850,8695,6221,8259,5842,8524,298,8179,6067,5235,9184,9903,15377,11016,8521,11542,7975,165,7945,11113,10775,8309,7,12,0,4,6,5294,7122,6731,5657,8052,4288,7025,5586,7298,5245,7307,5137,6925,5622,389,312,7903,5705,7705,5371,719,1075,5824,5744,5577,6685,4145,4791,638,3422,5743,580,4638,0,5024,4231,5442,0,4481,5157,0,4211,5401,231,5486,7131,76,7465,12052,7068,12449,Rural Arizona,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,8,021
8,Rural Arizona,8,152323,66016,4432020021,16949750,7033063,61941530,1529129,29691,29715,49143,43646,14013,17269,21853,10575,2058,61119,74081,18803,45928,1684,5675,895,694,120278,1006,3313,1588,215,10137,15786,26682,124515,101785,788,2362,1362,176,7160,10882,17773,136480,119604,796,2639,892,112,8310,3663,21956,3567046777,2876258806,103372,93940,300,1719,305,64,4040,1893,11059,58840,56071,84,937,142,952,3471,145214,128027,5906,14279,1038,666,598,115702,103742,23659,9358,151567,134685,16808,75209,77114,16196,60809,58051,174,1461,78,583,1459,5822,3615,1014,7802,2395,3226,5572,13777,7375,4036,2784,10,60022,606,55851,4719,128736,66130,7069,150211,19622,66016,47462,18544,2046,78,76,196,52,244,364,248,415,43156,1848,8244,6710,5695,8887,2126,2381,484,1542,505,94,411,0,49,1252,0,208,320,437,23346,333,25,22927,26335,1576,21928,409,254,22,728,394,526,142594,51168,89716,9729,4595,4915,31190,268,4800,71,4529453911,23135,47220,24113,45716,22379,46581,1752,45226,23779,19101,49622,40348,88773,55637,27594,56958,25913,1244,37235,42091,46394,32203,4,18,0,2,2,19181,39719,38843,20740,44350,15915,39615,19843,40422,18759,41259,17670,38291,20552,2070,1363,43876,17724,40544,17792,4322,5871,33404,17752,17150,37652,13044,27469,3585,11014,30227,3545,15898,0,28363,13085,31304,0,14322,29354,0,12980,31105,1801,19232,36509,869,26306,56565,26543,56328,Rural Arizona,45258,77322,198771,025,Yavapai County,Yavapai,NaN,NaN,8,025
8,Rural Arizona,8,30000,14059,936564107,6929076,1562625,9292018,207586,4698,5276,6741,13290,3040,3570,4639,2465,167,11913,21932,11163,10125,365,118,25,1,22398,311,331,301,39,2799,3821,7913,25997,20354,228,254,278,29,2078,2776,5596,30091,25745,295,263,241,25,2664,812,7229,873301716,749983433,25220,21667,141,183,93,23,2351,479,4441,10219,8647,93,53,20,1183,1730,28902,22264,1973,5929,343,165,20,24051,20855,3567,1534,29764,27273,2425,14941,15054,4515,8964,8679,1,123,0,78,400,438,400,238,880,434,380,875,1666,971,273,797,231,8651,221,8564,308,26102,9832,1792,29869,3258,14059,11630,2394,308,101,30,0,0,7,49,8,20,8153,493,1731,1746,530,1420,46,922,161,93,122,14,12,1,0,47,0,79,3,8,9198,23,13,9148,8723,156,8014,101,16,0,79,68,29,25776,6060,19273,4219,1699,2436,7694,7,954,2,929991471,3436,8375,3345,8360,3321,8322,254,7897,3686,2887,8764,5636,14856,9656,4463,9865,4195,113,6502,7170,7908,5711,0,0,0,0,0,2542,6533,6570,2657,7158,2269,6595,2698,6592,2632,6719,2499,6384,2769,158,31,7055,2721,6283,2634,495,833,5700,2579,2422,6220,1957,4847,373,1783,5072,612,2010,0,5138,1970,5274,0,2165,4862,0,1739,5518,95,2845,5884,32,4203,9857,4136,9924,Rural Arizona,21141,26029,149964,027,Yuma County,Yuma,NaN,NaN,8,027
9,Border Latinos,9,31992,10613,589979252,4978154,1214142,6713484,215877,8678,9055,8669,5581,3073,3041,3125,1125,59,13996,13248,2605,9102,199,786,342,3,14601,484,481,196,33,7245,8952,23233,23936,11566,426,407,156,18,4999,6364,16294,35334,24944,634,501,162,36,8028,951,24493,728079060,644010933,33538,22369,441,449,144,29,8859,993,21901,29336,21820,501,206,130,6438,17884,29712,12381,5573,16754,150,121,80,21040,16433,2987,1020,29813,26516,3245,16955,15037,2121,10508,9932,15,148,28,183,669,565,463,105,1225,626,358,930,2301,678,297,1386,0,10343,108,9729,734,25269,12244,2705,29690,5967,10613,7377,3194,173,8,5,23,0,77,18,5,2,3543,172,690,410,408,731,107,168,59,74,14,0,0,0,5,11,3,6,1,2,18703,15,1,18660,22838,510,21825,97,32,6,17,30,20,25658,18337,6978,6334,3328,2865,4821,39,514,15,659307514,4130,3276,4218,3151,4031,3312,101,2961,4314,3885,3449,6959,6156,4527,6530,4759,6197,41,4731,6006,4455,6271,2,0,0,0,0,4575,3245,3257,4493,3802,3965,3094,4817,3141,4728,3303,4491,3066,4796,178,132,3435,5258,3966,4819,591,340,3081,5323,5187,3514,4176,2800,336,3635,3531,289,4413,0,3038,4211,3223,0,4445,2967,0,4170,3285,103,4882,4200,67,5428,5528,4702,6254,Border Latinos,20002,27768,94659,003,Cochise County,Cochise,NaN,NaN,9,003
9,Border Latinos,9,1044,397,18166462,374671,46615,141603,9216,240,182,381,236,114,143,124,5,0,403,555,180,370,2,0,0,0,457,5,17,3,4,357,201,730,825,389,0,12,0,2,271,151,554,1335,867,2,17,5,0,400,36,990,25185168,26412324,1527,946,5,12,0,4,461,50,1114,1779,793,0,13,3,936,1339,1024,555,20,454,0,0,2,759,626,78,28,1044,974,70,543,501,60,312,301,0,4,0,0,53,13,15,0,25,0,2,5,95,25,0,11,0,312,0,219,90,862,365,110,1044,234,397,338,62,0,0,0,0,0,0,0,0,0,80,5,0,4,0,5,0,2,4,0,0,0,0,0,0,2,0,0,0,0,576,0,0,576,698,28,625,0,15,0,0,0,11,1014,808,189,30,20,1,180,0,2,0,19604232,240,117,252,111,251,110,2,105,254,240,118,453,219,143,344,148,329,2,180,273,185,285,0,0,0,0,0,300,110,94,307,140,248,109,305,112,285,104,301,102,304,7,6,122,315,126,285,5,14,74,327,315,90,290,61,4,270,85,9,294,0,70,292,75,0,308,55,0,294,65,2,368,100,3,303,174,277,200,Border Latinos,7984,14554,42873,007,Gila County,Gila,NaN,NaN,9,007
9,Border Latinos,9,8123,1152,68823590,12523961,308521,771702,24741,987,3630,2986,514,288,274,307,238,0,4481,1346,361,852,1,37,32,0,3564,549,735,33,7,1467,1768,4297,6960,3289,534,553,27,6,1165,1386,3473,9216,4459,743,768,51,6,2993,178,4501,101204662,89047050,4201,2014,39,528,10,0,1418,143,2175,4601,2803,107,428,66,1042,1890,7923,4200,1297,3163,83,68,383,6678,4804,340,51,3497,2640,858,6541,1580,353,1516,1405,0,85,0,6,264,91,41,0,168,175,84,120,195,173,7,9,0,1496,6,1441,49,7306,1621,788,3493,1124,1152,677,455,68,0,0,0,0,47,20,0,0,1005,104,169,183,127,129,70,6,5,0,8,4,0,0,0,5,0,0,0,5,5023,33,6,4983,3890,106,3640,38,10,0,40,0,21,6901,4379,2418,1220,318,874,560,6,63,0,90851612,260,369,267,354,249,353,6,343,267,216,383,416,681,542,394,561,380,3,425,477,561,344,0,0,2,0,0,269,392,392,302,466,226,409,301,416,267,403,250,392,279,13,11,493,337,472,283,17,32,366,329,325,452,251,320,30,188,424,28,313,0,328,242,382,0,273,348,0,288,343,10,300,521,13,384,557,363,578,Border Latinos,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,9,013
9,Border Latinos,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Border Latinos,248230,159636,821500,019,Pima County,Pima,0,0,9,019
9,Border Latinos,9,19984,5948,407357284,3851279,877180,3905198,163208,3245,5804,6479,4457,1382,1477,2158,740,73,8228,7018,2264,4609,0,54,12,0,11176,986,696,94,29,4328,2675,8579,17047,9619,946,605,73,21,3858,1925,6827,23104,15737,493,1550,80,26,4287,860,9563,434326876,459479605,18219,13003,50,210,31,13,3883,532,7934,15644,14220,23,116,11,921,6719,19388,13468,1404,5080,363,38,313,15600,11995,1734,692,15096,13764,1330,12954,7030,1850,5201,5001,2,61,5,21,461,355,290,1,415,114,182,390,1360,555,94,324,0,5149,17,3305,1881,17496,5744,1128,15084,2183,5948,4692,1276,107,0,17,24,10,19,0,13,12,3330,287,928,358,340,494,83,113,44,95,0,21,13,9,0,26,11,0,12,0,8855,67,8,8774,8707,318,8208,26,0,0,36,0,82,18217,10162,7873,1767,621,1036,2999,7,416,9,425750645,2580,3061,2693,2902,2573,3003,119,2820,2658,2403,3161,4527,5460,4337,3784,4478,3573,70,3369,4534,4130,3773,0,2,0,1,0,2827,2988,2851,2957,3408,2363,2900,3016,3007,2840,3031,2823,2847,3022,110,143,3253,2904,3147,2860,326,454,2659,3442,3280,3123,2666,2090,347,2228,2704,273,2900,0,2250,2681,2450,0,2842,2293,0,2633,2481,156,3107,3340,38,3189,4862,2904,5147,Border Latinos,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,9,021
9,Border Latinos,9,42252,14300,894990421,1020405,1566463,11059093,363083,12891,10624,12216,6520,3715,4205,3972,1878,469,18930,15715,880,11177,861,2285,248,120,11627,159,402,283,12,13478,16291,38421,30361,8551,106,298,223,8,9359,11816,27049,41975,30039,159,258,223,15,10375,871,37812,771368170,605971143,33309,24742,103,167,154,20,6905,850,29448,25155,18073,66,29,116,6598,21643,39297,5623,14431,33430,129,99,0,26622,19985,5426,1919,42077,36464,5590,20278,21974,1062,16626,15849,189,131,77,340,610,1157,601,1242,1990,2002,760,886,3481,1234,753,1548,10,16079,489,13769,2844,32226,18896,3328,42086,9953,14300,9297,5001,185,0,13,60,0,0,104,6,0,1688,140,234,277,85,224,110,16,106,16,13,15,2,0,0,0,0,54,22,82,31690,5,72,31610,38057,727,36677,224,94,9,165,45,12,27311,21235,5302,14941,8816,6125,7132,0,999,0,916643061,6782,2814,7185,2432,6815,2723,273,2411,6994,6573,2946,11473,4911,3875,11538,4382,11024,164,6545,8331,5558,9342,0,2,2,2,0,7627,2387,2348,7574,3115,6924,2269,7809,2313,7657,2563,7545,2308,7787,380,221,2378,10072,4115,8220,679,472,2272,7878,7995,2743,4986,1750,374,4599,2443,291,5150,0,1975,5042,2082,0,5207,1920,0,5407,1854,183,7152,3167,36,9312,6094,7587,7819,Border Latinos,8987,4340,34769,023,Santa Cruz County,Santa Cruz,NaN,NaN,9,023
9,Border Latinos,9,173432,58805,4092646140,3525203,6228776,53194222,1368491,51892,50173,45415,26030,14072,13935,18668,9877,1851,73182,70148,18185,40256,2269,5733,1744,1461,67618,3762,3181,2264,244,48425,47938,122005,126839,52020,3016,2339,1813,183,34363,33105,84018,164102,110905,3523,2747,2006,269,37924,6459,109240,3460938920,2989482644,132166,85238,2955,1995,1114,109,34198,4029,74878,93440,69119,2428,1040,984,18148,40189,160723,66227,34401,91804,572,991,583,107268,78107,16942,5872,165095,142698,22292,90581,82851,9848,67387,64676,754,769,206,456,6154,3467,3322,2091,7460,3421,3067,5133,14060,6619,2716,5803,2654,64173,3074,63540,3730,132139,75270,11286,165838,31884,58805,39005,19786,3708,99,350,351,131,208,1466,420,266,16065,1679,3302,3297,1590,2688,315,695,38,329,155,16,48,4,78,128,0,67,39,20,113967,217,115,113586,121071,1942,115962,949,182,167,683,337,268,126745,71637,52785,46686,22418,24252,29263,156,4208,62,4185570861,16608,17534,16641,16909,16160,17251,931,15896,17433,15286,18217,27745,31303,25284,29442,26459,27961,948,24532,28851,23469,29635,4,2,0,0,1,17166,15870,15843,17197,16679,16786,15604,17806,15521,17957,16573,16766,15171,18160,1254,596,17976,21859,20882,16789,2732,2301,15186,15784,15594,17010,11685,12552,1320,10490,14461,1211,12236,0,13443,11877,13862,0,12514,12625,0,11981,13949,519,15647,18506,150,25262,29158,22658,31762,Border Latinos,21141,26029,149964,027,Yuma County,Yuma,NaN,NaN,9,027
10,Tuscon Latinos,10,328664,122089,7058362628,765132,11753732,107639271,3509903,91038,102477,91371,43819,34176,34153,35808,15737,2020,136246,135691,25125,68964,7405,13783,14246,5609,132539,13516,14612,6525,597,81317,79558,209539,250528,108074,9744,10454,5509,431,59450,56866,149688,330543,201109,12955,13434,5605,457,82968,13305,209761,6438720899,6071590336,289176,171332,9895,9398,3705,363,80942,11315,162879,244139,154689,9707,5466,3309,69251,112733,308417,159099,47441,138178,2930,4297,3376,202721,160202,36523,12546,324413,276466,47816,162330,166326,16742,144989,134055,4052,2534,1470,2134,1280,13012,8354,2431,17253,7567,8726,17551,33633,18717,7478,7346,816,143998,846,141780,2985,257551,159960,19012,324026,75137,122089,69465,52637,10687,227,1447,2186,692,1543,2037,973,766,27116,1743,4421,4985,3843,3692,1577,1095,346,634,471,64,102,62,537,642,24,341,77,63,181608,1566,189,179740,217376,7503,201333,2020,831,111,2446,989,1104,266491,177917,82985,62169,27932,34209,41720,360,12045,429,7217403292,56438,21332,56935,20221,55601,21274,1500,18854,57791,52855,23928,97259,38433,31432,87241,32923,85146,1633,35016,77009,35060,75988,21,45,24,26,27,58659,21996,21265,58943,26788,53206,20841,60478,21182,59713,23963,56581,20459,60261,2992,2822,23861,65052,30579,57093,6353,5299,20305,57835,57615,24154,41562,17765,4311,37421,23530,3836,44137,0,20221,42940,20372,0,43500,20167,0,42921,20691,1940,55444,28897,866,81310,36759,77537,40532,Tuscon Latinos,248230,159636,821500,019,Pima County,Pima,NaN,NaN,10,019
11,Tucson Middle Class,11,374426,159481,11551224168,495707,14737293,167547855,3983249,83120,119263,105799,66239,33321,39649,49908,30368,6088,151409,176228,7030,98564,14981,19730,20726,14805,249341,19833,6175,13970,1138,30291,53678,100140,306068,212399,15103,4855,11929,810,23500,37472,72044,352091,278328,16389,4925,11773,808,24432,14647,81410,10522600622,10282190461,328603,268873,12398,3558,9006,351,21659,10293,56705,281006,247908,9076,2064,6237,13717,35444,354598,287171,16832,48027,6202,7911,4875,253354,234387,88527,36044,360915,332719,27903,186038,188387,29773,176375,161725,2972,5336,3285,2269,1250,9026,10820,2629,21228,7565,13044,22491,46198,18856,8396,9666,4035,175042,1131,172199,3969,312749,192364,19454,355238,51566,159481,86984,72470,20764,695,2774,5182,718,2171,4187,1900,1800,80084,6946,16006,9271,10404,14141,5517,4175,1143,1702,2380,60,292,128,1420,2187,362,540,243,386,97656,3123,216,94078,105231,6249,87334,4287,550,245,1796,2015,1716,338879,149457,182499,35548,19460,16052,58673,606,13079,742,11774989373,87722,51620,88317,49804,85991,51692,3015,47258,90247,78540,58743,154423,97917,72265,113060,72407,111346,3365,57534,118920,65106,110125,52,104,56,79,66,78412,56179,55233,81719,63402,72405,53340,83478,54411,81884,59288,76078,52083,83580,3587,3812,59728,80872,66924,73643,11993,8504,55273,77355,75257,63064,55809,47449,7946,48977,57856,7555,61463,0,51249,57016,53919,0,59010,52703,0,58724,53742,3574,80436,68671,2112,112659,71094,113954,69799,Tucson Middle Class,248230,159636,821500,019,Pima County,Pima,NaN,NaN,11,019
12,Tucson Prosperity,12,220698,95192,11491282910,2698973,10242003,124264126,2549604,43505,40837,71647,64669,10104,14421,28002,28602,13964,90523,107662,7812,78387,5625,6509,5187,4041,169562,4163,1921,9016,305,9451,26280,38230,182663,145180,3227,1469,7223,202,7348,18014,26790,195245,170929,3135,1463,6609,161,7194,4954,27970,9523706024,8203458804,158831,143777,1772,991,3234,126,4568,2846,15682,96195,90005,762,470,1244,2753,7337,211786,181238,6401,18840,6085,3827,1420,166777,160745,89294,43300,218571,210572,7924,108123,112568,22199,94511,91406,271,581,267,1565,657,3531,8694,1839,9402,4193,8988,12551,26105,6680,4283,5750,905,93208,1155,91222,3127,185765,100652,7623,219059,12571,95192,75553,19636,13082,332,3310,2996,221,591,2135,966,1872,63482,4605,12003,7361,6950,12433,4368,3756,529,1760,2394,320,539,94,654,2097,153,328,820,562,41350,451,825,39978,41232,2026,33070,2251,297,71,984,1246,761,199844,67646,128582,20853,13918,6861,54004,556,5061,242,11521928530,68761,55248,70191,52745,66999,55466,1877,51984,70652,59399,62734,121227,108959,68246,76139,67170,76096,1842,57004,81671,62472,75454,43,86,24,77,29,53829,57089,56704,57631,63454,50401,54811,58272,55541,57202,59592,52388,53388,58506,1588,1563,56209,56283,62278,50437,7689,4958,54820,51212,48317,61140,38421,47693,4472,33680,55094,4642,42770,0,49285,38135,52268,0,40019,51434,0,40931,51769,1853,50511,59640,1094,77956,65310,79818,63448,Tucson Prosperity,248230,159636,821500,019,Pima County,Pima,NaN,NaN,12,019
12,Tucson Prosperity,12,10894,5779,575558644,151439,698795,4931155,50318,809,860,1581,7645,535,884,1985,2000,387,4060,6591,15,6407,146,0,0,4,9850,72,46,129,8,163,626,766,10384,9550,61,39,102,4,113,515,552,9710,9292,70,19,78,1,135,87,478,509401575,302490625,4808,4728,18,3,16,0,9,8,53,652,644,0,0,0,0,32,10672,9875,190,554,136,64,0,9984,9848,5166,2108,10893,10457,436,5250,5644,1768,1592,1540,0,29,0,4,118,105,128,7,168,29,273,263,321,26,60,2,1,1546,37,452,1131,10177,1863,1171,10894,508,5779,5412,394,142,0,0,78,0,0,20,6,18,4625,199,1116,322,329,878,309,651,26,113,247,6,6,0,0,281,0,43,18,0,1218,16,0,1188,898,232,304,0,2,0,0,359,0,9887,1297,8510,1007,599,395,3859,67,62,10,571417024,3802,4180,3928,3982,3667,4223,70,3998,3916,3218,4672,6689,8366,4833,3822,4701,3886,48,4489,3951,4274,4215,2,4,2,0,0,2913,4501,4448,3180,5066,2524,4434,3180,4481,3101,4638,2862,4338,3203,70,62,4234,2940,4413,2818,346,270,4164,2839,2644,4524,2208,3905,150,2074,4088,273,2387,0,3914,2114,4175,0,2261,3975,0,2198,4173,83,2671,3969,36,4051,4536,4237,4350,Tucson Prosperity,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,12,021
13,Southern Outposts,13,66755,27199,2275822804,1862305,2762456,26797028,567714,16923,15496,19457,14879,4292,5475,8840,7422,1064,25719,30747,4947,20725,1040,1160,2095,605,46255,3793,701,2210,390,4075,9331,14287,52936,37950,2961,560,1891,295,3100,6179,9746,67094,53145,4113,694,1957,294,3410,3164,12395,2248755411,1688358876,56475,43974,4128,456,1410,180,3021,2269,8474,44785,36475,3817,193,1648,1846,5142,63009,52528,2363,7242,1602,1344,117,46240,43233,15220,6173,62918,59171,3651,32976,33779,12439,27583,25840,157,593,97,699,114,1573,614,94,2309,753,1489,3733,5072,2035,864,4733,3465,27327,185,25828,1671,53131,29392,2761,64401,6538,27199,19184,7988,3655,8,100,387,139,171,644,601,1244,16226,1965,3431,1626,2439,3780,550,542,75,243,111,2,47,9,110,350,1,49,24,41,17374,161,53,17117,15432,583,11732,1354,17,96,724,453,118,61438,17800,41348,5317,3384,1817,13479,103,1131,59,2345196398,9982,16909,10075,16551,9546,17071,979,15725,10478,8261,18360,16868,32828,21589,12283,21582,11759,938,15753,17886,18261,15284,7,0,0,4,4,8259,16777,16729,8421,18186,6848,16365,9052,16710,8632,17361,7811,15959,9230,794,823,17212,8014,16838,8292,2716,2292,16516,9325,8594,18439,6924,12859,1672,5998,14070,1869,7476,0,14049,6890,14468,0,7587,13855,0,6101,15397,766,9092,17672,483,12084,21257,12317,21024,Southern Outposts,20002,27768,94659,003,Cochise County,Cochise,NaN,NaN,13,003
